No,Hospital_Name,State_Code,State,Membership_Tier,Hospital_Type,Accreditation,Languages_Spoken,International_Patient_Services,Website_URL,specialist,Latitude,Longitude
37,Johor Specialist Hospital,JH,Johor,Elite Membership,,,,,https://kpjhealth.com.my/johor/,Obstetrics & Gynaecology,1.4759208,103.7415824
37,Johor Specialist Hospital,JH,Johor,Elite Membership,,,,,https://kpjhealth.com.my/johor/,Endocrine & Diabetes Centre,1.4759208,103.7415824
38,KL Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.klfertility.com,Advanced Reproductive Medicine including IVF,3.1460576,101.6618787
38,KL Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.klfertility.com,Frozen Embryo Transfer (FET),3.1460576,101.6618787
38,KL Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.klfertility.com,Egg,3.1460576,101.6618787
38,KL Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.klfertility.com,Sperm & Embryo Freezing,3.1460576,101.6618787
38,KL Fertility Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.klfertility.com,Fertility Preservation,3.1460576,101.6618787
39,Klinik Pergigian Kheng,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://khengdental.com/,,3.1454884,101.6967031
40,KPJ Klang Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://kpjhealth.com.my/klang,,3.0622842,101.4630971
41,KPJ Pasir Gudang Specialist Hospital,JH,Johor,Ordinary Member,,,,,https://kpjhealth.com.my/pasirgudang/,,1.4770267,103.8957951
42,KPJ Penang Specialist Hospital,PN,Penang,Ordinary Member,,,,,https://kpjhealth.com.my/penang,,5.36913,100.434293
43,KPJ Pusat Pakar Mata Centre for Sight,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/cfs/,,3.1766612,101.6997912
44,KPJ Sabah Specialist Centre,SB,Sabah,Ordinary Member,,,,,https://kpjhealth.com.my/sabah/,,5.9675094,116.0933326
45,KPJ Sentosa KL Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/sentosa,Anaesthesiology,3.1709314,101.6971678
45,KPJ Sentosa KL Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/sentosa,Cardiology,3.1709314,101.6971678
45,KPJ Sentosa KL Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/sentosa,Oncology (Clinical),3.1709314,101.6971678
45,KPJ Sentosa KL Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/sentosa,Clinical Radiology,3.1709314,101.6971678
45,KPJ Sentosa KL Specialist Hospital,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/sentosa,Dermatology,3.1709314,101.6971678
46,KPJ Tawakkal Health Centre,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://kpjhealth.com.my/thc/,,3.1771496,101.6997576
47,Kuching Specialist Hospital,SW,Sarawak,Ordinary Member,,,,,https://www.kpjhealth.com.my/kuching/,,1.5059413,110.3659261
48,Life Care Diagnostic Medical Centre Sdn Bhd,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://lifecarediagnostic.com/,,3.1099413,101.6635163
49,LohGuanLye Specialists Centre,PN,Penang,Elite Membership,Private Hospital,MSQH Accredited,English; Malay; Mandarin,Medical tourism services,https://www.lohguanlye.com/,Dentistry,5.4198009,100.3180487
49,LohGuanLye Specialists Centre,PN,Penang,Elite Membership,Private Hospital,MSQH Accredited,English; Malay; Mandarin,Medical tourism services,https://www.lohguanlye.com/,Dermatology,5.4198009,100.3180487
49,LohGuanLye Specialists Centre,PN,Penang,Elite Membership,Private Hospital,MSQH Accredited,English; Malay; Mandarin,Medical tourism services,https://www.lohguanlye.com/,"Ear, Nose, Throat, Head & Neck Surgery and Cochlear Implant Surgery",5.4198009,100.3180487
49,LohGuanLye Specialists Centre,PN,Penang,Elite Membership,Private Hospital,MSQH Accredited,English; Malay; Mandarin,Medical tourism services,https://www.lohguanlye.com/,Emergency & Occupational Health,5.4198009,100.3180487
49,LohGuanLye Specialists Centre,PN,Penang,Elite Membership,Private Hospital,MSQH Accredited,English; Malay; Mandarin,Medical tourism services,https://www.lohguanlye.com/,Eye Surgery & Glaucomatology,5.4198009,100.3180487
50,Mahkota Medical Centre,MK,Melaka,Elite Membership,,,,,https://www.mahkotamedical.com/,,2.1873396,102.251583
51,MAHSA Specialist Hospital,SEL,Selangor,Ordinary Member,,,,,https://www.mahsahospital.com/,,2.9531267,101.5760698
52,Metro IVF @ Setiawalk,SEL,Selangor,Ordinary Member,,,,,https://www.metro.com.my,,3.032301,101.6168058
53,MSU Medical Centre,SEL,Selangor,Ordinary Member,,,,,https://www.msumedicalcentre.com/,,3.0767498,101.5530674
54,National Sports Medicine Centre (PPSN),WP,Wilayah Persekutuan,Ordinary Member,,,,,https://ppsn.isn.gov.my,,3.152269,101.6653741
55,Normah Medical Specialist Centre,SW,Sarawak,Ordinary Member,,,,,http://www.normah.com.my/,,1.5778812,110.3292735
56,Northern Heart Penang,PN,Penang,Ordinary Member,,,,,https://nhearthospital.com/,Cardiology,5.4243513,100.3163802
56,Northern Heart Penang,PN,Penang,Ordinary Member,,,,,https://nhearthospital.com/,Electrophysiology,5.4243513,100.3163802
56,Northern Heart Penang,PN,Penang,Ordinary Member,,,,,https://nhearthospital.com/,Cardiothoracic Surgery,5.4243513,100.3163802
56,Northern Heart Penang,PN,Penang,Ordinary Member,,,,,https://nhearthospital.com/,Thoracic Surgery,5.4243513,100.3163802
56,Northern Heart Penang,PN,Penang,Ordinary Member,,,,,https://nhearthospital.com/,Nephrology,5.4243513,100.3163802
57,OasisEye Specialists,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://oasiseye.my,,3.10968,101.6653807
58,Optimax Eye Specialists,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.optimax2u.com,,3.1411538,101.6285335
59,Oriental Melaka Straits Medical Centre,MK,Melaka,Ordinary Member,,,,,https://www.orientalmedical.com.my,,2.207952,102.2139537
60,Pantai Hospital Cheras,WP,Wilayah Persekutuan,Ordinary Member,,,,,https://www.pantai.com.my/cheras,,3.1026212,101.7409056
